Men,Women,VotingAgeCitizen,IncomePerCap,Poverty,Professional,Service,Unemployment,Hispanic,White,Black,Asian,Native,Pacific,Income,Employed
3477,4434,6177,21141,24.3,35.8,18.5,1.6,1.9,74.1,16.0,3.9,0.0,0.2,49310,3608
1438,1736,2651,48429,3.2,60.7,12.6,2.8,0.0,92.7,5.4,0.2,0.0,0.0,79073,1861
694,693,1038,37040,7.1,41.6,16.3,0.0,2.1,95.0,0.2,0.0,1.1,0.0,80417,787
3556,3571,5269,47328,2.0,49.5,14.7,6.1,21.7,32.6,1.9,40.4,0.2,0.0,110441,3725
3799,4152,5927,26020,13.6,31.5,25.4,4.7,20.3,65.2,7.6,1.6,0.0,0.0,58859,4639
3512,3860,4459,22381,9.8,35.5,18.0,4.4,28.3,20.8,5.3,43.0,0.8,0.0,56358,3377
1387,1975,2791,48253,15.5,60.7,8.3,7.4,98.0,1.4,0.6,0.0,0.0,0.0,45670,1629
2746,3274,4261,20050,17.0,26.1,26.5,6.9,3.1,42.7,49.3,1.7,0.5,0.0,49855,2717
1569,1676,2823,36298,18.1,57.3,12.9,7.0,3.4,71.3,17.4,6.4,0.4,0.0,71111,1573
1528,1590,2223,32979,6.2,55.1,9.9,2.9,4.6,84.4,0.0,4.7,0.6,0.0,66875,1583
1391,1582,2294,24989,9.9,35.7,19.4,2.5,0.4,96.7,0.5,0.0,1.1,0.0,45682,1535
1823,1711,2266,12007,43.6,19.7,30.7,17.2,60.1,12.1,25.6,1.1,0.0,0.0,23371,1241
1507,1458,1892,20450,34.6,22.8,28.6,8.4,70.9,19.1,8.1,0.8,0.0,0.0,41047,1372
1297,1445,1406,10888,48.6,16.7,36.7,4.1,52.7,38.5,5.8,1.5,0.2,0.0,28617,982
1897,1699,2750,40388,4.7,46.5,18.7,5.5,8.4,89.1,2.3,0.1,0.0,0.0,82250,1536
3982,3131,6479,16668,21.4,48.0,16.0,4.1,4.8,79.8,8.7,4.4,0.0,0.0,37309,2257
658,594,979,12053,67.7,30.0,48.1,28.6,0.6,3.5,95.9,0.0,0.0,0.0,11607,237
2317,2500,4089,22908,18.1,32.0,19.2,5.7,2.7,96.0,0.3,0.0,0.0,0.0,43268,2281
2070,2194,3128,27784,6.4,29.5,16.9,2.4,0.2,98.0,0.1,0.1,0.0,0.0,69875,2499
1650,1602,2341,37475,12.4,40.0,19.2,1.9,9.3,84.9,1.7,1.2,1.4,0.0,63800,1727
3869,4107,7197,26637,47.8,47.5,24.3,5.1,10.1,78.4,1.8,5.5,0.6,0.0,42666,3990
1508,1391,2303,8877,60.4,28.6,23.9,11.5,99.5,0.5,0.0,0.0,0.0,0.0,14894,825
2981,2618,4631,53537,5.1,38.5,14.6,5.8,0.6,94.9,0.0,2.3,0.6,0.0,85288,3443
3363,3598,5305,26948,12.3,30.5,18.4,3.7,0.1,84.8,11.9,2.3,0.9,0.0,67900,3007
5262,5256,6975,31635,5.8,29.5,15.5,5.1,17.7,77.3,1.8,0.0,1.3,0.0,66538,4905
11676,11322,15066,43293,1.9,64.7,8.6,4.2,21.1,54.2,15.7,6.4,0.2,0.0,116320,11265
1368,1577,2058,17986,26.6,15.6,36.3,8.3,5.1,92.8,1.3,0.0,0.0,0.0,31659,1254
2534,2841,4262,44504,3.2,43.1,16.5,4.6,4.7,88.0,2.8,3.0,0.0,0.0,111063,2713
1563,1762,2492,26870,6.5,24.8,20.7,3.1,1.9,97.6,0.1,0.2,0.0,0.0,44593,1587
1052,1314,1836,20265,15.1,27.3,19.4,7.5,2.0,92.9,2.2,0.0,0.2,1.1,40469,919
3187,3558,5017,37660,6.7,57.6,11.6,3.3,2.4,80.3,9.3,4.0,0.0,0.3,71069,3290
3335,3626,4128,21892,28.2,25.0,16.7,10.1,33.6,32.8,26.9,0.5,4.3,0.0,35500,2870
1936,2518,2840,23993,8.9,33.1,14.1,7.1,86.2,8.8,1.4,3.5,0.0,0.0,58438,2064
2967,3545,5436,48609,6.8,48.1,14.7,5.3,1.5,95.3,0.8,0.7,0.3,0.0,72583,3335
3708,3903,5763,24130,12.6,30.0,24.2,8.0,1.2,91.7,2.0,0.6,0.6,0.0,51667,3648
660,776,1100,15038,34.5,24.7,22.4,12.5,0.7,12.9,77.2,1.7,1.4,0.0,16397,469
1779,1911,2858,20533,25.3,40.2,27.1,4.7,0.2,95.3,0.9,0.4,2.0,0.0,34398,1661
3485,2165,3381,16406,27.4,24.0,28.7,9.5,36.9,38.8,19.9,3.8,0.0,0.1,39648,2720
2052,2015,2057,16331,20.5,12.6,32.0,11.1,68.9,16.6,4.0,3.1,0.0,0.0,45463,1998
1506,1414,1896,21861,20.3,22.6,43.7,5.8,39.6,46.5,2.0,6.9,0.3,4.0,31429,1669
2360,2012,3338,90006,6.9,67.1,15.6,4.8,15.0,56.6,6.4,15.9,0.0,0.0,138117,2808
2226,2073,3451,28192,14.8,29.1,19.2,4.3,10.4,79.9,6.5,0.6,0.0,0.0,55900,2205
1402,1475,2378,40234,10.6,47.5,15.3,1.9,6.1,89.5,0.9,0.8,0.0,0.0,48833,1303
5313,5907,6565,18941,20.7,27.7,15.2,8.1,26.0,5.9,65.2,0.2,0.0,0.0,47206,5167
3236,3916,4605,33129,15.1,38.1,24.8,6.7,4.5,46.8,13.6,29.9,0.0,0.0,63855,3802
975,905,1489,22839,24.3,31.4,30.7,4.0,2.2,92.0,1.8,0.9,0.7,0.0,33971,1096
2341,2504,3891,26305,20.6,23.3,17.1,6.8,0.5,68.8,30.2,0.3,0.0,0.0,34864,1933
2699,2587,3470,38130,4.2,47.7,11.2,7.3,4.0,14.8,66.2,12.4,0.0,0.0,78987,3017
2926,2737,3659,83821,5.6,80.4,2.5,4.7,3.1,58.5,1.6,35.9,0.0,0.0,192356,3025
2841,2836,2181,17779,24.9,17.7,42.9,4.1,9.6,6.8,0.2,81.0,0.0,0.0,42697,2936
