Men,Women,VotingAgeCitizen,IncomePerCap,Poverty,Professional,Service,Unemployment,Hispanic,White,Black,Asian,Native,Pacific,Income,Employed
2453,2786,3249,16076,24.6,14.8,30.1,9.0,49.1,46.1,0.2,2.2,1.0,0.2,34261,2145
5847,5289,3280,11182,43.1,12.8,23.9,5.9,98.1,1.6,0.0,0.2,0.0,0.0,31664,3575
1157,952,1623,27406,19.6,20.0,22.7,2.3,71.7,15.8,3.9,0.2,0.0,0.0,45625,1211
2738,3543,4290,30229,7.4,47.0,18.2,5.4,31.7,39.2,24.5,2.7,0.0,0.0,75663,3466
2984,2571,4047,20496,26.7,25.9,11.4,7.7,2.1,78.6,17.2,0.5,0.9,0.0,44014,2276
2864,2975,3675,24305,3.9,37.2,16.5,7.8,38.7,29.6,19.6,4.3,0.8,1.0,64353,2524
2198,2299,3387,44438,2.7,50.1,16.9,4.5,18.2,52.9,0.8,23.8,0.0,0.0,139167,2242
3735,4150,3966,25413,20.3,38.1,25.0,9.1,90.1,7.6,1.7,0.5,0.0,0.0,42649,3874
1205,1746,2557,26930,18.2,34.0,29.9,4.4,2.5,24.7,64.5,4.6,0.5,0.0,32125,1550
3837,3598,4950,26051,2.7,35.1,16.4,2.4,14.8,59.3,14.3,7.8,0.4,0.0,76339,4095
1358,1241,2147,32818,10.3,28.7,26.6,5.8,8.8,82.3,1.8,3.1,0.0,0.0,62905,1341
1293,1755,1628,15033,41.6,28.7,30.9,11.7,39.2,2.8,58.0,0.0,0.0,0.0,24135,1183
1961,1865,2781,121782,8.4,70.6,5.9,11.2,5.4,81.6,0.6,9.1,0.0,0.0,159286,1552
3335,3239,4777,38837,8.4,43.3,10.8,6.2,29.6,44.2,5.6,18.3,0.3,0.0,107266,3049
1784,1733,2703,33842,3.8,41.3,17.5,9.7,2.2,95.7,0.1,0.7,0.0,0.0,71250,1702
987,937,1498,31165,6.4,31.8,22.4,2.1,3.1,95.2,0.0,0.0,1.7,0.0,85469,914
2123,2168,3121,19003,19.2,29.3,21.2,7.0,9.9,78.7,8.4,0.7,0.1,0.0,36122,1745
3868,3094,5280,46367,1.3,48.2,6.2,0.2,24.6,69.5,0.0,4.3,0.0,0.0,115021,3994
1929,2156,3359,23809,18.8,30.0,35.0,5.0,3.8,93.5,2.7,0.0,0.0,0.0,35977,1776
1739,2371,2779,25339,26.8,30.9,36.2,8.2,45.7,42.9,9.0,1.2,0.0,0.0,36281,1962
2881,4678,4884,11901,47.9,16.6,33.5,30.9,44.3,1.1,47.8,5.2,0.0,0.0,13207,1775
2050,2218,3116,35609,5.5,34.8,15.2,2.7,0.0,86.5,8.8,0.3,0.1,0.0,84583,2152
1388,1402,2262,28674,16.1,36.9,11.1,4.2,0.4,97.8,0.2,0.8,0.2,0.0,46645,1454
1593,1709,2615,23312,10.2,30.2,20.8,6.8,4.1,63.7,29.0,1.4,0.5,0.0,50662,1627
971,1563,1950,10745,56.7,6.4,55.5,13.1,0.4,10.3,89.3,0.0,0.0,0.0,15346,598
687,677,1046,15154,44.0,34.2,25.5,12.4,4.3,79.2,12.5,0.0,0.8,0.0,20260,529
1162,1049,1757,27704,15.6,28.0,13.6,8.7,2.6,93.0,0.2,0.2,0.4,0.0,43550,922
528,756,1045,24210,16.1,42.0,10.6,3.4,0.0,65.4,30.0,0.0,0.0,0.0,41713,621
1128,1401,1891,27082,8.4,35.3,24.2,12.0,3.2,46.4,46.4,2.8,0.8,0.0,45385,1119
1580,1751,2506,27120,7.4,26.9,21.0,7.0,9.2,82.6,3.7,1.8,0.0,0.0,59471,1611
1275,1283,1919,21983,22.4,24.6,23.7,6.6,14.0,83.2,2.8,0.0,0.0,0.0,38063,1046
2653,2326,3602,33685,3.5,32.1,18.3,8.1,32.3,55.6,5.0,4.5,0.0,0.0,82973,2427
1405,1184,1649,21181,19.9,26.2,31.4,13.4,9.9,29.5,39.0,15.7,0.0,0.0,54960,1243
844,1378,1181,5977,81.5,3.2,57.1,44.2,0.9,0.6,97.4,0.0,0.5,0.0,8733,473
2875,2247,3832,23958,14.9,32.6,20.3,11.7,17.3,47.7,31.2,0.0,0.2,0.0,34266,2191
2326,2553,3512,21402,13.4,25.4,20.7,3.3,1.2,97.0,0.2,0.3,0.6,0.0,43068,2178
1153,1047,1588,16043,32.5,25.9,21.6,6.1,0.4,98.3,1.1,0.0,0.1,0.0,29358,820
1226,1199,1980,35485,13.2,54.6,15.2,9.8,7.6,79.0,4.4,6.2,0.3,0.0,51250,1592
3725,5074,6689,19268,16.6,30.5,17.3,7.9,5.0,72.4,4.1,0.8,12.7,0.2,48849,3188
4565,4417,6564,46994,6.0,39.7,13.9,3.7,2.0,92.5,1.1,2.6,0.0,0.0,98587,5426
846,1034,1352,15788,27.9,15.4,34.5,7.2,18.5,70.0,4.3,3.9,0.0,0.0,33846,766
1417,1521,2324,27624,15.9,32.3,20.8,1.3,1.5,96.2,1.2,0.2,0.2,0.0,41591,1385
3166,3259,3954,17875,8.4,21.7,22.8,11.5,89.7,2.7,0.1,6.4,0.9,0.0,83083,2768
1560,1438,2198,25528,7.0,32.4,15.4,4.9,0.0,87.0,5.3,5.6,0.0,0.0,52258,1517
1156,1424,2192,41861,4.1,40.0,16.0,1.8,1.4,91.4,0.2,7.0,0.0,0.0,61000,1215
2295,2871,3731,25040,20.7,30.4,20.1,10.1,8.4,77.3,12.1,1.2,0.0,1.0,41678,2467
1508,1518,2035,21356,15.0,20.9,22.4,7.1,31.3,60.3,3.5,0.1,4.3,0.0,46348,1386
905,1372,1595,12642,37.4,13.3,42.3,18.4,1.1,3.7,93.2,0.3,0.0,0.3,26438,777
3295,2916,2881,14770,24.7,8.4,25.9,21.6,91.3,2.1,2.6,2.8,0.0,0.0,46972,2544
2248,2181,2546,44095,2.5,55.3,14.9,3.2,10.1,20.1,6.4,57.9,0.2,0.7,104759,2609
1524,1364,2137,25399,12.7,35.5,9.5,6.2,7.4,83.1,1.6,3.8,0.0,0.0,51190,1320
2570,3554,4333,42875,3.5,60.7,12.3,4.5,2.3,72.0,13.1,9.9,0.0,0.0,64565,2848
6672,6581,8547,76688,2.3,59.7,9.0,3.4,3.7,88.9,2.9,3.8,0.0,0.0,193419,5830
2100,2923,3798,29454,12.3,38.5,14.6,2.2,4.8,88.7,0.0,3.3,0.6,0.0,50140,2281
2400,2771,3830,36916,7.2,38.1,16.4,4.0,0.3,96.7,1.0,1.6,0.0,0.0,73881,2464
2314,2710,3455,48984,5.0,57.2,12.9,3.0,12.0,79.7,1.2,5.3,0.3,0.0,82841,2170
2509,2669,3842,55224,2.5,46.8,14.8,4.3,4.3,92.3,0.7,1.9,0.2,0.0,109821,2655
4062,4090,6207,43715,4.2,57.2,13.0,7.1,18.3,76.6,2.1,0.9,0.0,1.0,90680,3807
3172,3292,4823,22942,11.5,19.5,16.4,4.8,0.7,97.6,0.0,0.0,0.0,0.0,51442,3086
2805,2611,3993,29615,6.5,35.7,13.7,5.8,1.0,95.1,1.0,0.1,0.3,0.0,67154,2647
1658,1740,2533,34963,11.9,42.2,18.7,2.1,4.4,49.3,39.6,5.0,0.0,0.0,48304,1787
2175,2206,3771,45019,8.7,41.6,14.3,5.6,7.3,86.0,0.3,2.8,0.7,0.0,71850,2192
294,459,519,8708,72.0,2.8,34.0,29.8,16.9,16.3,63.9,0.5,0.5,0.0,10580,144
1493,1989,2661,25973,15.0,23.0,20.7,8.2,0.1,97.2,1.5,0.0,0.0,0.0,48155,1538
855,790,1219,29405,10.5,31.9,13.9,1.2,0.6,99.3,0.0,0.1,0.0,0.0,52321,927
813,868,1469,66981,7.0,62.4,5.8,0.0,20.3,76.5,0.0,3.2,0.0,0.0,73750,652
2218,2225,3341,27415,16.1,33.1,18.4,7.8,13.9,79.2,3.8,2.1,0.0,0.0,52328,2286
330,307,507,11905,32.8,12.7,36.1,10.9,0.5,1.3,94.2,0.0,0.0,0.0,21250,205
